ApplStandard,MEPSComp,N-Standard,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,AnnualOutputEER,AnnualOutputCOP,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,ExpDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,EER,Variable Output Compressor,Type variable output,Var output compressor,Rated cooling power input kW,Rated heating power input kW,Rated AEER,Rated ACOP
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FUJITSU,1.85,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.01,5.25,7.1,270,0,0,0,295,2.12,8,Calorimeter Room,3.6359,3.8681,TRUE,63.3,4.74,4.79,4.654545455,5.366857143,3.606927131,3.838700084,2.7139,3.1774,2.5,3,Calorimeter Room,Single,R32,"Australia,New Zealand",25/10/21,Approved,Reverse Cycle,940,Class 4,TRUE,,TRUE,TRUE,TRUE,3.6359,TRUE,Variable output compressor,Inverter,2.01,2.12,3.5044,3.745
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.25,Both,Multiple split - VRF,Wall Hung,Air,Air,China,2.1,7.75,8,,0,0,0,,2.05,9,Enthalpy Test Room,3.7341,4.4505,TRUE,0,47,47,0,0,3.481468231,4.130243765,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",4/11/21,Approved,Reverse Cycle,,Class 9,FALSE,FALSE,,,,3.7341,TRUE,Variable output compressor,Inverter,2.1,2.05,3.5416,4.0745
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.15,Both,Multiple split - VRF,Wall Hung,Air,Air,China,2.9,9.85,10,,0,0,0,,2.6,11,Enthalpy Test Room,3.3268,4.2561,TRUE,0,49,49,0,0,3.147476746,4.000912178,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,,Class 10,FALSE,FALSE,,,,3.3268,TRUE,Variable output compressor,Inverter,2.9,2.6,3.262,3.9774
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,1.25,Both,Multiple split - VRF,Wall Hung,Air,Air,China,3.45,10.85,12.1,,0,0,0,,3.55,14,Enthalpy Test Room,3.3345,3.8444,TRUE,0,36.01,40.52,0,0,3.224844041,3.706585644,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",25/10/21,Approved,Reverse Cycle,,Class 10,FALSE,FALSE,,,,3.3345,TRUE,Variable output compressor,Inverter,3.45,3.55,3.3877,3.7972
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,1.35,Both,Multiple split - VRF,Wall Hung,Air,Air,China,4.2,12.65,14,,0,0,0,,4.35,16.5,Enthalpy Test Room,3.2496,3.7831,TRUE,0,35.89,36.13,0,0,3.156470616,3.681007843,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,,Class 10,FALSE,FALSE,,,,3.2496,TRUE,Variable output compressor,Inverter,4.2,4.35,3.2398,3.6895
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,2.15,Both,Multiple split - VRF,Wall Hung,Air,Air,China,4.5,13.35,15.5,,0,0,0,,5,18,Enthalpy Test Room,3.3321,3.4191,TRUE,0,36.25,35.74,0,0,3.243554066,3.341478249,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",26/10/21,Approved,Reverse Cycle,,Class 10,FALSE,FALSE,,,,3.3321,TRUE,Variable output compressor,Inverter,4.5,5,3.3531,3.5151
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.298,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.59,2.252,2.55,200,0,0,0,300,0.67,2.7,Calorimeter Room,4.5151,4.0883,TRUE,0,1,1,0,0,4.489639294,4.067741071,4.4793,3.6355,4,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.5151,TRUE,Variable output compressor,Inverter,0.59,0.67,4.2974,4.0096
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.298,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.59,2.252,2.55,200,0,0,0,300,0.67,2.7,Calorimeter Room,4.5151,4.0883,TRUE,0,1,1,0,0,4.489639294,4.067741071,4.4793,3.6355,4,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.5151,TRUE,Variable output compressor,Inverter,0.59,0.67,4.2974,4.0096
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.298,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.59,2.252,2.55,200,0,0,0,300,0.67,2.7,Calorimeter Room,4.5151,4.0883,TRUE,0,1,1,0,0,4.489639294,4.067741071,4.4793,3.6355,4,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.5151,TRUE,Variable output compressor,Inverter,0.59,0.67,4.2974,4.0096
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.302,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.87,3.198,3.5,200,0,0,0,300,0.89,3.6,Calorimeter Room,4.0217,4.0795,TRUE,0,1,1,0,0,4.006231663,4.06386395,3.5125,3.6277,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.0217,TRUE,Variable output compressor,Inverter,0.87,0.89,4.0074,4.0296
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.302,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.87,3.198,3.5,200,0,0,0,300,0.89,3.6,Calorimeter Room,4.0217,4.0795,TRUE,0,1,1,0,0,4.006231663,4.06386395,3.5125,3.6277,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.0217,TRUE,Variable output compressor,Inverter,0.87,0.89,4.0074,4.0296
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.302,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.87,3.198,3.5,200,0,0,0,300,0.89,3.6,Calorimeter Room,4.0217,4.0795,TRUE,0,1,1,0,0,4.006231663,4.06386395,3.5125,3.6277,3.5,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,810,Class 3,TRUE,,TRUE,TRUE,TRUE,4.0217,TRUE,Variable output compressor,Inverter,0.87,0.89,4.0074,4.0296
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.84,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.4,4.16,5,225,0,0,0,325,1.38,5.2,Calorimeter Room,3.6215,3.8162,TRUE,0,1,1,0,0,3.612510835,3.806897746,2.725,3.1138,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,980,Class 4,TRUE,,TRUE,TRUE,TRUE,3.6215,TRUE,Variable output compressor,Inverter,1.4,1.38,3.5628,3.7589
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.84,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.4,4.16,5,225,0,0,0,325,1.38,5.2,Calorimeter Room,3.6215,3.8162,TRUE,0,1,1,0,0,3.612510835,3.806897746,2.725,3.1138,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,980,Class 4,TRUE,,TRUE,TRUE,TRUE,3.6215,TRUE,Variable output compressor,Inverter,1.4,1.38,3.5628,3.7589
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,0.84,Non Ducted,Single Split System,Wall Hung,Air,Air,China,1.4,4.16,5,225,0,0,0,325,1.38,5.2,Calorimeter Room,3.6215,3.8162,TRUE,0,1,1,0,0,3.612510835,3.806897746,2.725,3.1138,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,980,Class 4,TRUE,,TRUE,TRUE,TRUE,3.6215,TRUE,Variable output compressor,Inverter,1.4,1.38,3.5628,3.7589
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.35,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2,5.75,7.1,235,0,0,0,338,2,7.5,Calorimeter Room,3.5372,3.8571,TRUE,0,1,1,0,0,3.531281879,3.850378263,2.5626,3.2008,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.5372,TRUE,Variable output compressor,Inverter,2,2,3.544,3.7437
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.35,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2,5.75,7.1,235,0,0,0,338,2,7.5,Calorimeter Room,3.5372,3.8571,TRUE,0,1,1,0,0,3.531281879,3.850378263,2.5626,3.2008,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.5372,TRUE,Variable output compressor,Inverter,2,2,3.544,3.7437
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.35,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2,5.75,7.1,235,0,0,0,338,2,7.5,Calorimeter Room,3.5372,3.8571,TRUE,0,1,1,0,0,3.531281879,3.850378263,2.5626,3.2008,2.5,3,Calorimeter Room,Single,R410A,"Australia,New Zealand",9/11/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.5372,TRUE,Variable output compressor,Inverter,2,2,3.544,3.7437
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.68,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.3,6.32,8,235,0,0,0,338,2.35,8.3,Calorimeter Room,3.4318,3.6286,TRUE,0,1,1,0,0,3.426755929,3.623326052,2.3535,2.7467,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.4318,TRUE,Variable output compressor,Inverter,2.3,2.35,3.4732,3.5268
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.68,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.3,6.32,8,235,0,0,0,338,2.35,8.3,Calorimeter Room,3.4318,3.6286,TRUE,0,1,1,0,0,3.426755929,3.623326052,2.3535,2.7467,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.4318,TRUE,Variable output compressor,Inverter,2.3,2.35,3.4732,3.5268
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.68,Non Ducted,Single Split System,Wall Hung,Air,Air,China,2.3,6.32,8,235,0,0,0,338,2.35,8.3,Calorimeter Room,3.4318,3.6286,TRUE,0,1,1,0,0,3.426755929,3.623326052,2.3535,2.7467,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",27/10/21,Approved,Reverse Cycle,1090,Class 4,TRUE,,TRUE,TRUE,TRUE,3.4318,TRUE,Variable output compressor,Inverter,2.3,2.35,3.4732,3.5268
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.05,Both,Multiple split - VRF,Wall Hung,Air,Air,China,6.6,22.35,22.4,,0,0,0,,6.9,25,Enthalpy Test Room,3.5298,3.5241,TRUE,0,96.29,88.08,0,0,3.354962113,3.379876142,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",23/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.5298,TRUE,Variable output compressor,Inverter,6.6,6.9,3.2344,3.4733
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.02,Both,Multiple split - VRF,Wall Hung,Air,Air,China,8.65,27.98,28,,0,0,0,,9.55,31.5,Enthalpy Test Room,3.2946,3.712,TRUE,0,91.21,83.59,0,0,3.175784629,3.59060807,0,0,0,0,Enthalpy Test Room,Three,R410A,Australia,18/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.2946,TRUE,Variable output compressor,Inverter,8.65,9.55,3.1256,3.2037
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.44,Both,Multiple split - VRF,Wall Hung,Air,Air,China,10.41,33.06,33.5,,0,0,0,,10.46,37.5,Enthalpy Test Room,3.4241,3.8095,TRUE,0,104.29,96.08,0,0,3.304092629,3.691993304,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",23/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.4241,TRUE,Variable output compressor,Inverter,10.41,10.46,3.1127,3.4771
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,York,0.075,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.67,2.425,2.5,185,0,0,0,280,0.68,2.6,Calorimeter Room,4.1485,4.4533,TRUE,0,1,1,0,0,4.125810677,4.429780721,3.7516,4.3596,3.5,4,Calorimeter Room,Single,R410A,"Australia,New Zealand",23/1/22,Approved,Reverse Cycle,800,Class 3,TRUE,,TRUE,TRUE,TRUE,4.1485,TRUE,Variable output compressor,Inverter,0.67,0.68,3.7126,3.8046
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,FUJITSU,0.2,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.57,12.3,12.5,,0,0,0,,3.37,13.5,Enthalpy Test Room,3.5211,4.038,TRUE,0,10.24,10.59,0,0,3.487349191,3.995541211,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",16/11/21,Approved,Reverse Cycle,,Class 10,TRUE,,TRUE,TRUE,TRUE,3.5211,TRUE,Variable output compressor,Inverter,3.57,3.37,3.4678,3.9638
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,FUJITSU,0.1,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.44,9.9,10,,0,0,0,,2.79,12,Enthalpy Test Room,4.2113,4.4222,TRUE,0,9.52,9.83,0,0,4.15644464,4.36983418,,,,,Enthalpy Test Room,Single,R410A,"Australia,New Zealand",18/11/21,Approved,Reverse Cycle,,Class 10,TRUE,,TRUE,TRUE,TRUE,4.2113,TRUE,Variable output compressor,Inverter,2.44,2.79,4.045,4.2505
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,AirSmart,5,Ducted,Single Split System,,Air,Air,"Canada,China,Australia",5.35,12,17,821,0,0,0,464,4.4,15.2,Enthalpy Test Room,3.1764,3.5147,TRUE,0,26.8,26.8,0,0,3.124007934,3.442397101,0,0,0,0,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",9/11/21,Approved,Reverse Cycle,648,Class 7,FALSE,FALSE,,,,3.1764,TRUE,"Variable output compressor,Thermostatic expansion value,Variable speed fan systems",Inverter,5.35,4.4,3.1247,3.3849
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FUJITSU,3.07,Non Ducted,Single Split System,Cassette,Air,Air,"Thailand,China",3.89,9.43,12.5,840,0,0,0,288,3.83,14,Calorimeter Room,3.261,3.7684,TRUE,65,10.59,10.58,4.745127436,5.39447429,3.230940295,3.733096402,1.9619,2.9662,1.5,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",15/11/21,Approved,Reverse Cycle,840,Class 5,FALSE,FALSE,,,,3.261,TRUE,Variable output compressor,Inverter,3.89,3.83,3.1841,3.6215
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,Carrier,0.32,Non Ducted,Multiple split - Fixed head,,Air,Air,China,1.44,4.78,5.1,,0,0,0,,1.6,6,Enthalpy Test Room,3.5207,3.7413,TRUE,0,14,14,0,0,3.409182225,3.634342604,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",21/11/21,Approved,Reverse Cycle,,Class 9,FALSE,FALSE,,,,3.5207,TRUE,Variable output compressor,Inverter,1.44,1.6,3.429,3.6423
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MITSUBISHI HEAVY INDUSTRIES,3,Non Ducted,Single Split System,Under ceiling,Air,Air,Thailand,3.61,9.5,12.5,,2.371869919,14.587,6.15,,3.78,14,Calorimeter Room,3.4383,3.4995,TRUE,0,29.36,36.86,0,0,3.350388106,3.39275444,2.2008,2.2855,2,2,Calorimeter Room,Three,R410A,"Australia,Fiji,New Zealand",15/11/21,Approved,Reverse Cycle,,Class 5,FALSE,FALSE,,,,3.4383,TRUE,Variable output compressor,Inverter,3.61,3.78,3.37,3.5855
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.3,Both,Multiple split - VRF,Wall Hung,Air,Air,China,6.55,22.1,22.4,,0,0,0,,7,25,Enthalpy Test Room,3.2487,3.3555,TRUE,0,87.11,83.3,0,0,3.111935965,3.227633544,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",18/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.2487,TRUE,Variable output compressor,Inverter,6.55,7,3.2727,3.4333
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,1.26,Non Ducted,Single Split System,Cassette,Air,Air,China,2.1,5.74,7,840,0,0,0,245,2.19,7.5,Calorimeter Room,3.3091,3.4071,TRUE,0,10,10,0,0,3.257047167,3.356686225,2.0141,2.2134,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",30/11/21,Approved,Reverse Cycle,840,Class 4,TRUE,,TRUE,TRUE,TRUE,3.3091,TRUE,"Variable output compressor,",Inverter,2.1,2.19,3.2805,3.3726
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FUJITSU,2.73,Non Ducted,Single Split System,Floor/Ceiling,Air,Air,Thailand,3.56,8.77,11.5,700,0,0,0,240,4.11,14,Calorimeter Room,3.2514,3.4429,TRUE,65,10.49,10.48,4.602675059,4.939330544,3.219409188,3.413190031,1.9388,2.3264,1.5,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",15/11/21,Approved,Reverse Cycle,1660,Class 5,FALSE,FALSE,,,,3.2514,TRUE,Variable output compressor,Inverter,3.56,4.11,3.1985,3.3772
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FUJITSU,2.05,Non Ducted,Single Split System,Cassette,Air,Air,"Thailand,China",2.94,7.95,10,840,0,0,0,288,2.98,11.2,Calorimeter Room,3.5425,3.7941,TRUE,0,10.59,10.58,0,0,3.498333899,3.748796998,2.4967,2.9976,2,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",17/11/21,Approved,Reverse Cycle,840,Class 5,FALSE,FALSE,,,,3.5425,TRUE,Variable output compressor,Inverter,2.94,2.98,3.3604,3.7138
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.2:2012,FUJITSU,2.73,Ducted,Single Split System,,Air,Air,Thailand,3.56,8.77,11.5,700,0,0,0,270,4.02,14,Calorimeter Room,3.2438,3.4988,TRUE,60,10.59,10.58,3.825520833,4.630678078,3.211726311,3.46793865,0,0,0,0,Calorimeter Room,Single,R410A,"Australia,New Zealand",15/11/21,Approved,Reverse Cycle,1135,Class 7,FALSE,FALSE,,,,3.2438,TRUE,Variable output compressor,Inverter,3.56,4.02,3.1982,3.4519
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.35,Both,Multiple split - VRF,Wall Hung,Air,Air,China,8.7,27.65,28,,0,0,0,,9.1,31.5,Enthalpy Test Room,3.3261,3.6052,TRUE,0,87.11,83.3,0,0,3.214656037,3.494441737,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",23/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.3261,TRUE,Variable output compressor,Inverter,8.7,9.1,3.113,3.3577
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.4:2012,Braemar,0.3,Both,Multiple split - VRF,Wall Hung,Air,Air,China,9.86,33.2,33.5,,0,0,0,,10.31,37.5,Enthalpy Test Room,3.2712,3.5262,TRUE,0,93.47,89.9,0,0,3.171082227,3.425624259,0,0,0,0,Enthalpy Test Room,Three,R410A,"Australia,New Zealand",19/1/22,Approved,Reverse Cycle,,Class 11,FALSE,FALSE,,,,3.2712,TRUE,Variable output compressor,Inverter,9.86,10.31,3.2921,3.5331
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,FUJITSU,1.23,Non Ducted,Single Split System,Wall Hung,Air,Air,China,0.86,2.27,3.5,203,0,0,0,268,0.81,3.7,Calorimeter Room,4.1455,4.6087,TRUE,61.1,5.09,5.15,5.389355742,5.672043011,4.064745163,4.511148373,3.6295,4.5223,3.5,4.5,Calorimeter Room,Single,R32,"Australia,New Zealand",11/1/22,Approved,Reverse Cycle,840,Class 3,TRUE,,TRUE,TRUE,TRUE,4.1455,TRUE,"Variable output compressor,",Inverter,0.86,0.81,3.9899,4.4718
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Non Multi-Split],MEPS Oct 2011,AS/NZS 3823.1.1:2012,MDV,2.15,Non Ducted,Single Split System,Cassette,Air,Air,China,3.18,8.35,10.5,840,0,0,0,245,3.1,10.8,Calorimeter Room,3.2958,3.5023,TRUE,0,10,10,0,0,3.260385521,3.463069879,2.0208,2.4261,2,2,Calorimeter Room,Single,R410A,"Australia,New Zealand",23/11/21,Approved,Reverse Cycle,840,Class 5,TRUE,,TRUE,TRUE,TRUE,3.2958,TRUE,"Variable output compressor,",Inverter,3.18,3.1,3.2672,3.4463
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,Carrier,1.27,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.03,5.83,7.1,,0,0,0,,2.14,7.6,Enthalpy Test Room,3.4728,3.6693,TRUE,0,15,15,0,0,3.389291981,3.58510205,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",30/11/21,Approved,Reverse Cycle,,Class 9,FALSE,FALSE,,,,3.4728,TRUE,Variable output compressor,Inverter,2.03,2.14,3.4123,3.4692
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,Carrier,0.9,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.35,7.4,8.3,,0,0,0,,2.55,9.4,Enthalpy Test Room,3.621,3.6862,TRUE,0,17,17,0,0,3.533881196,3.605393409,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",30/11/21,Approved,Reverse Cycle,,Class 9,FALSE,FALSE,,,,3.621,TRUE,Variable output compressor,Inverter,2.35,2.55,3.4476,3.605
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,Carrier,1.16,Non Ducted,Multiple split - Fixed head,,Air,Air,China,2.8,8.64,9.8,,0,0,0,,3,11,Enthalpy Test Room,3.4664,3.6153,TRUE,0,20,20,0,0,3.385058668,3.536333075,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",21/11/21,Approved,Reverse Cycle,,Class 9,FALSE,FALSE,,,,3.4664,TRUE,Variable output compressor,Inverter,2.8,3,3.4175,3.5859
GEMS (Air Conditioners and Heat Pumps) Determination 2013 [Multi-Split],,AS/NZS 3823.1.4:2012,Carrier,1.52,Non Ducted,Multiple split - Fixed head,,Air,Air,China,3.9,11.58,13.1,,0,0,0,,4,14.5,Enthalpy Test Room,3.3198,3.663,TRUE,0,23,23,0,0,3.2549815,3.593756842,,,,,Enthalpy Test Room,Single,R410A,"Australia,Fiji,New Zealand",30/11/21,Approved,Reverse Cycle,,Class 10,FALSE,FALSE,,,,3.3198,TRUE,Variable output compressor,Inverter,3.9,4,3.2933,3.5559
